key_resp_2.keys,correct_answer,key_resp_2.rt,,,
,,,,,
s,1,0.6217935,,mean,0.735261704
d,0,0.7700952,,,
d,1,1.2055083,,st.dev,0.522924753
s,1,0.6308724,,,
d,1,1.6455057,,,
s,0,1.1905109,,,
d,0,1.5471954,,,
s,0,0.7740048,,,
d,1,0.2435,,,
s,1,0.4685457,,,
s,1,1.2301111,,,
d,1,0.5908239,,,
s,1,0.8555433,,,
d,0,0.6399767,,,
s,0,0.3678338,,,
d,0,0.3278949,,,
s,0,0.3003347,,,
d,0,0.4695914,,,
s,0,1.4680956,,,
d,1,0.8242623,,,
s,1,0.1811374,,,
d,1,0.6814589,,,
s,0,0.3513241,,,
s,1,0.5179162,,,
d,1,0.7300362,,,
s,1,0.6132629,,,
d,1,0.5545013,,,
s,1,0.5956026,,,
d,1,0.3744591,,,
s,0,0.8844256,,,
d,0,0.6335785,,,
s,0,1.4361337,,,
s,0,0.315101,,,
d,1,0.2897127,,,
s,0,0.7859677,,,
d,1,1.1701862,,,
s,1,0.6545623,,,
s,1,0.6848335,,,
d,1,0.3364334,,,
s,0,0.4419296,,,
d,0,0.4405839,,,
s,0,1.814423,,,
d,1,0.8556402,,,
s,1,1.2276797,,,
s,1,0.5930146,,,
d,1,0.0181174,,,
s,1,0.887354,,,
s,1,0.667794,,,
d,1,0.2639248,,,
s,1,0.7678295,,,
d,1,0.8515091,,,
s,1,0.4049081,,,
d,0,0.3703997,,,
s,0,0.3400366,,,
d,0,0.563042,,,
s,0,0.7504928,,,
d,1,0.5432537,,,
s,0,0.3234822,,,
d,1,2.0432104,,,
s,0,4.337288,,,
d,1,0.7025805,,,
s,0,0.4052303,,,
d,1,0.4075008,,,
s,1,0.7596635,,,
d,1,0.8490202,,,
s,1,0.3427529,,,
d,1,0.8821754,,,
s,0,0.7087507,,,
d,0,0.0295696,,,
s,0,0.7073113,,,
d,0,0.6421686,,,
d,0,0.4705065,,,
s,0,0.3694507,,,
d,1,0.5687576,,,
s,1,0.4849396,,,
d,1,0.2756162,,,
d,1,1.046686,,,
s,0,0.5323901,,,
d,0,0.4957416,,,
s,0,1.041294,,,
d,1,1.3275673,,,
s,1,0.9939327,,,
d,1,0.987728,,,
s,0,0.4939884,,,
d,1,0.5993775,,,
s,1,1.5176599,,,
d,1,0.6269311,,,
s,1,0.3922011,,,
s,1,0.6447251,,,
d,1,0.6220616,,,
s,1,0.6879241,,,
s,1,0.6972954,,,
d,1,1.5045726,,,
s,1,0.6111854,,,
d,1,0.5773214,,,
s,1,0.6097481,,,
d,1,0.5781892,,,
s,1,0.6376354,,,
d,1,0.6337923,,,
s,1,0.5916815,,,
