key_resp_2.keys,correct_answe,key_resp_2.rt,,,
,,,,,
s,1,0.6365522,,mean,0.677928907
s,1,0.9657563,,stdev,0.428857324
s,1,0.6749353,,,
d,0,0.6965469,,,
d,1,0.2956776,,,
d,0,0.487726,,,
d,1,0.3152186,,,
d,1,0.5033554,,,
s,1,0.2976145,,,
d,0,0.7853113,,,
s,0,1.6799099,,,
d,1,1.4950466,,,
s,1,1.0865579,,,
d,1,0.5218116,,,
s,0,1.2171059,,,
d,0,0.6526223,,,
s,1,0.5789685,,,
d,1,0.6591966,,,
s,1,0.9693046,,,
s,1,0.5678013,,,
s,1,0.2988865,,,
s,0,2.8892638,,,
s,1,0.153638,,,
s,1,0.4199882,,,
d,1,0.7883865,,,
d,1,0.4516718,,,
d,1,0.6282578,,,
d,0,0.9943658,,,
d,1,1.0354762,,,
s,1,0.2894263,,,
d,0,0.7526761,,,
s,1,0.8599192,,,
d,1,0.7487791,,,
s,0,0.7476667,,,
s,0,0.6136803,,,
s,0,0.5011503,,,
d,0,1.182243,,,
d,1,0.5668533,,,
d,0,0.6771056,,,
s,1,1.6122256,,,
d,0,0.4323698,,,
s,0,0.3923969,,,
d,1,0.3441899,,,
s,1,0.4819312,,,
d,0,0.2880937,,,
s,0,0.5640239,,,
d,0,0.413011,,,
s,1,0.5776858,,,
d,0,0.3640804,,,
s,1,0.4732614,,,
d,1,0.581214,,,
s,0,0.6070771,,,
d,0,0.508185,,,
s,0,0.5508832,,,
d,0,0.5375241,,,
s,0,0.3416276,,,
d,1,0.3451696,,,
s,0,0.3222901,,,
d,1,0.2851105,,,
s,1,0.4009205,,,
s,0,0.7511617,,,
d,1,0.4156559,,,
s,0,1.6688842,,,
d,0,1.0414695,,,
s,1,1.8769388,,,
d,1,0.5709577,,,
s,1,0.4452348,,,
s,0,0.6085748,,,
d,1,0.6769714,,,
s,1,0.4018168,,,
d,1,0.3331758,,,
s,0,0.4335117,,,
d,1,0.2927882,,,
s,1,0.2983144,,,
s,0,0.6104433,,,
d,0,0.2857131,,,
s,0,0.7729469,,,
d,1,0.4154479,,,
s,0,0.3457246,,,
d,0,0.3507333,,,
s,0,0.5229371,,,
s,1,0.6411796,,,
s,1,0.7623519,,,
d,0,0.273852,,,
d,0,0.6627214,,,
d,1,0.3060245,,,
d,0,0.3516247,,,
s,0,0.6122926,,,
d,1,0.6485961,,,
s,1,0.9925518,,,
s,0,0.416661,,,
s,0,1.1850764,,,
s,0,0.3990522,,,
d,1,0.786892,,,
s,0,0.6901282,,,
d,1,0.8588549,,,
s,1,0.9621304,,,
d,0,1.0672869,,,
s,1,2.1026609,,,
d,1,0.8438262,,,
